,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,Unnamed: 16
449069,2006,Chrysler,300,Base,Sedan,automatic,2c3ka43r76h366165,il,1.9,119618.0,blue,gray,go financial,4775,2500,Thu May 28 2015 03:00:00 GMT-0700 (PDT),
197199,2014,Volkswagen,Jetta,S,Sedan,manual,3vw1k7aj9em275429,ca,4.9,7740.0,—,black,volkswagen credit inc/sc,12050,12750,Wed Jul 01 2015 09:30:00 GMT-0700 (PDT),
288171,2007,Dodge,Durango,SLT,SUV,automatic,1d8hd48p97f510727,fl,1.9,166628.0,gold,tan,mid atlantic finance/clearwater,2850,2700,Wed Feb 11 2015 08:00:00 GMT-0800 (PST),
277025,2013,Mercedes-Benz,E-Class,E350 Sport,Sedan,automatic,wddhf5kb3da735753,tx,3.8,23923.0,white,off-white,mercedes-benz financial services,32200,32000,Thu Feb 12 2015 03:00:00 GMT-0800 (PST),
322760,2013,Ford,Explorer,XLT,SUV,automatic,1fm5k8d84dgc59887,mi,5.0,18494.0,red,black,"ford motor credit company,llc",29100,28100,Thu Jun 11 2015 02:30:00 GMT-0700 (PDT),
308700,2013,Ford,Fusion,SE,Sedan,automatic,3fa6p0hr7dr127722,il,4.1,21798.0,silver,beige,"ford motor credit company,llc",15450,16600,Thu Feb 19 2015 02:00:00 GMT-0800 (PST),
264244,2012,Toyota,Sienna,LE 8-Passenger,Minivan,automatic,5tdkk3dc0cs185967,fl,4.4,49648.0,blue,tan,world omni financial corporation,16900,18600,Tue Feb 10 2015 01:30:00 GMT-0800 (PST),
334017,2008,Honda,Accord,EX-L V-6,Sedan,automatic,1hgcp36808a078308,fl,2.8,103253.0,silver,gray,holman honda of fort lauderdale,9550,9300,Fri Feb 20 2015 09:35:00 GMT-0800 (PST),
492351,2012,Nissan,Rogue,S,suv,automatic,jn8as5mv5cw410901,tx,3.5,28592.0,silver,black,nissan-infiniti lt,17000,16800,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT),
360022,2008,Chevrolet,Tahoe,LT,SUV,automatic,1gnfc13068r168582,ca,1.9,95544.0,black,black,exeter finance corp,17550,19000,Thu Feb 26 2015 04:00:00 GMT-0800 (PST),
200913,2014,Jeep,Wrangler,Sport,SUV,automatic,1c4gjwag0el227771,fl,4.4,14572.0,black,black,enterprise veh exchange/rental,22800,23000,Tue Jan 27 2015 01:30:00 GMT-0800 (PST),
54618,2011,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac6bh268296,fl,3.5,71886.0,gold,beige,gm financial,8750,9300,Tue Dec 30 2014 12:15:00 GMT-0800 (PST),
198487,2013,Nissan,Altima,3.5 SL,Sedan,automatic,1n4bl3ap3dc132547,fl,4.7,15319.0,white,beige,nissan-infiniti lt,17300,18400,Wed Feb 04 2015 01:00:00 GMT-0800 (PST),
410153,2014,GMC,Savana Cargo,2500,Van,automatic,1gtw7fca6e1905549,pa,3.4,9281.0,white,gray,u-haul,19600,20200,Fri Jun 12 2015 02:00:00 GMT-0700 (PDT),
48392,2003,Jaguar,S-Type,3.0,Sedan,automatic,sajea01t93fm87701,fl,3.9,98057.0,gold,beige,mercedes benz of orlando,2825,3600,Tue Dec 23 2014 12:15:00 GMT-0800 (PST),
283047,2013,Ford,Escape,SE,SUV,automatic,1fmcu0gx9dud57191,fl,2.0,31571.0,white,gray,sixrentals corp/damage liquidation,15350,7000,Tue Feb 10 2015 01:30:00 GMT-0800 (PST),
126463,2010,Dodge,Charger,SXT Fleet,Sedan,automatic,2b3ca3cv8ah301438,ne,3.7,121061.0,blue,black,performance chrysler dodge jeep ram of bellevue,7000,7200,Thu Jan 15 2015 03:00:00 GMT-0800 (PST),
515899,2013,Audi,A4,2.0T Premium Plus,sedan,automatic,wauefafl6dn042710,pa,4.1,65332.0,black,beige,wheels exchange llc,21400,18300,Tue Jun 09 2015 02:30:00 GMT-0700 (PDT),
500134,2004,Toyota,4Runner,Sport Edition,suv,automatic,jtebu14r740022543,wa,3.4,189554.0,gray,beige,lexus of bellevue,5150,8000,Wed Jun 03 2015 06:20:00 GMT-0700 (PDT),
452780,2013,Lexus,RX 350,Base,SUV,automatic,2t2zk1ba9dc116396,fl,3.9,17207.0,gray,gray,lexus financial services,32600,32500,Tue May 26 2015 02:30:00 GMT-0700 (PDT),
228132,2009,Pontiac,G8,GT,Sedan,automatic,6g2ec57yx9l195355,tx,2.9,73345.0,black,black,wells fargo dealer services,14650,14400,Wed Feb 04 2015 02:00:00 GMT-0800 (PST),
281288,2002,Pontiac,Grand Prix,GT,Sedan,automatic,1g2wp52k12f213612,ca,3.6,80813.0,black,gray,volkswagen of murrieta,1975,3400,Tue Feb 10 2015 04:30:00 GMT-0800 (PST),
